"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 2 Constant Growback.nlogo"
"death-rate"
"02/18/2021 17:16:00:602 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9","9","9","9","9","9","9","10","10","10","10","10","10","10","11","11","11","11","11","11","11","12","12","12","12","12","12","12","13","13","13","13","13","13","13","14","14","14","14","14","14","14","15","15","15","15","15","15","15","16","16","16","16","16","16","16","17","17","17","17","17","17","17","18","18","18","18","18","18","18","19","19","19","19","19","19","19","20","20","20","20","20","20","20","21","21","21","21","21","21","21","22","22","22","22","22","22","22","23","23","23","23","23","23","23","24","24","24","24","24","24","24","25","25","25","25","25","25","25","26","26","26","26","26","26","26","27","27","27","27","27","27","27","28","28","28","28","28","28","28","29","29","29","29","29","29","29","30","30","30","30","30","30","30"
"visualization","no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,,"no-visualization",,,,,,
"initial-population","100",,,,,,,"100",,,,,,,"100",,,,,,,"100",,,,,,,"100",,,,,,,"200",,,,,,,"200",,,,,,,"200",,,,,,,"200",,,,,,,"200",,,,,,,"300",,,,,,,"300",,,,,,,"300",,,,,,,"300",,,,,,,"300",,,,,,,"400",,,,,,,"400",,,,,,,"400",,,,,,,"400",,,,,,,"400",,,,,,,"500",,,,,,,"500",,,,,,,"500",,,,,,,"500",,,,,,,"500",,,,,,,"600",,,,,,,"600",,,,,,,"600",,,,,,,"600",,,,,,,"600",,,,,,
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","641","641","641","641","641","641","641","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","844","844","844","844","844","844","844","1000","1000","1000","1000","1000","1000","1000","213","213","213","213","213","213","213","711","711","711","711","711","711","711","596","596","596","596","596","596","596","191","191","191","191","191","191","191","233","233","233","233","233","233","233"

"[initial & final values]","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth","count turtles","count turtles - count the-poor - count the-rich","count the-poor","count the-rich","avg-normal-wealth","avg-poor-wealth","avg-rich-wealth"
,"65","38","7","20","1316.4473684210527","486.2857142857143","2625.1","64","31","5","28","1300.225806451613","559.6","2364.75","58","29","5","24","1340.2413793103449","735.2","2301.75","70","34","8","28","1567.235294117647","443.625","2336.8928571428573","67","35","7","25","1705.5428571428572","523.4285714285714","2231.24","127","73","10","44","1184.7397260273972","222.6","1901.1818181818182","113","49","13","51","1210.5714285714287","173.69230769230768","1986.5882352941176","111","62","9","40","1309.983870967742","224.11111111111111","2060.35","122","69","12","41","1273.768115942029","166","2070.0243902439024","121","54","14","53","1222.0555555555557","238.07142857142858","1966.6037735849056","181","103","17","61","962.1456310679612","117.88235294117646","1784.311475409836","161","86","17","58","1103.3023255813953","94.47058823529412","1832.8275862068965","191","93","20","78","1015.7956989247311","81.95","1790.3589743589744","195","103","9","83","1087.9805825242718","72.44444444444444","1640.144578313253","188","105","14","69","1024.3428571428572","80","1794.1884057971015","226","112","11","103","969.0178571428571","47.90909090909091","1520","221","122","10","89","963.311475409836","55.8","1630.3258426966293","220","112","12","96","865.5892857142857","70.5","1677.9166666666667","238","126","2","110","903.5238095238095","38","1431.509090909091","233","133","8","92","833.0902255639098","52.25","1643.858695652174","266","139","0","127","577.1007194244604","<RuntimePrimitiveException>","929.8110236220473","263","130","2","131","821.0384615384615","18","1505.9083969465648","256","132","4","120","851.9848484848485","27","1504.4083333333333","260","131","0","129","721.412213740458","<RuntimePrimitiveException>","1302.5813953488373","257","150","4","103","969.78","25.5","1597.1747572815534","283","123","0","160","185.8211382113821","<RuntimePrimitiveException>","295.96875","286","127","0","159","713.2598425196851","<RuntimePrimitiveException>","985.9056603773585","285","166","0","119","473.59638554216866","<RuntimePrimitiveException>","830.0252100840336","295","170","0","125","170.7941176470588","<RuntimePrimitiveException>","264.112","296","144","0","152","189.29166666666666","<RuntimePrimitiveException>","337.45394736842104"
